OBJECT_ID,2MASS,_RAJ2000,_DEJ2000,Jmag,Hmag,Kmag
3326929393158941312,06410511+0958461,100.2713,9.97948,16.012,15.187,14.731
3326740831209175296,06410512+0953476,100.271374,9.896583,13.828,12.753,12.092
3326740831211240960,06410512+0953476,100.271374,9.896583,13.828,12.753,12.092
3326931179865338368,06410518+1000189,100.271598,10.005271,13.052,12.449,12.185
3326740796851503360,06410521+0953157,100.27172,9.887719,12.472,11.821,11.641
3326741514115569152,06410534+0955418,100.272288,9.928302,15.051,13.129,12.219
3326741514111044480,06410535+0955562,100.272297,9.932296,15.259,14.655,14.379
3326931179865342080,06410543+1000286,100.272648,10.007957,14.045,12.71,12.124
3326740826920795648,06410547+0953408,100.272818,9.894688,15.68,15.178,14.917
3326741685908694528,06410548+0956534,100.272865,9.948177,14.408,13.775,13.615
3326931351664040320,06410549+1002155,100.272916,10.037652,14.478,13.605,13.200
3326932141938107904,06410554+1002436,100.273091,10.04546,15.87,15.222,14.863
3326931351664034944,06410561+1001168,100.273402,10.021349,15.041,13.93,13.500
3326741209168361856,06410568+0954187,100.273684,9.905202,12.738,12.022,11.844
3326740040937260160,06410581+0952478,100.274215,9.879963,12.994,12.292,12.066
3326741209166292608,06410641+0954107,100.276738,9.902974,13.188,12.54,12.313
3326741209168361600,06410641+0954107,100.276738,9.902974,13.188,12.54,12.313
3326741273597400704,06410646+0955079,100.276957,9.918868,15.97,14.986,14.425
3326740826920796160,06410650+0953453,100.277101,9.895932,14.376,13.675,13.447
3326741514109999232,06410669+0956112,100.277875,9.936448,15.273,14.66,14.372
3326739658684850816,06410688+0950541,100.278703,9.848362,15.847,15.102,14.678
3326931282951157248,06410704+1000525,100.279348,10.014584,16.154,15.64,15.233
3326741307952612096,06410712+0955089,100.279701,9.919143,14.178,13.173,12.575
3326930874924790656,06410726+0958311,100.280268,9.975323,12.538,11.869,11.681
3326739559900928000,06410728+0949566,100.280365,9.832395,13.653,12.983,12.756
3326931386023778816,06410730+1002188,100.280419,10.038581,15.202,14.718,14.348
3326931386023779712,06410741+1002303,100.280888,10.041773,15.414,14.956,14.489
3326932519904093312,06410767+1002586,100.281989,10.049634,15.306,14.8,14.486
3326931386023862528,06410810+1001562,100.283756,10.032281,14.893,13.993,13.419
3326741209166285184,06410817+0954156,100.284044,9.904361,15.034,14.47,14.278
3326740448959197952,06410865+0953466,100.286045,9.8963,15.65,15.263,14.804
3326931386023947904,06410879+1002130,100.286625,10.036961,15.69,14.975,14.572
3326740075296996736,06410885+0953011,100.286898,9.883647,14.066,13.228,12.764
3326741617188918912,06410892+0956476,100.287191,9.946566,15.191,14.601,14.322
3326930904994033536,06410895+0959283,100.28733,9.991214,15.951,14.637,13.981
3326739972217783552,06410919+0951571,100.288316,9.865866,15.233,14.497,14.152
3326740075296996608,06410919+0953015,100.288322,9.883761,13.628,12.953,12.710
3326930909284528128,06410929+0959386,100.28874,9.994073,9.294,7.623,6.951
3326741415326788480,06410934+0956081,100.288927,9.935594,11.907,10.568,10.003
3326931386025942016,06410936+1002075,100.289006,10.035438,16.361,15.334,14.914
3326739766059353472,06410948+0951500,100.289528,9.863905,12.338,11.634,11.407
3326931076786123776,06410977+1000443,100.290709,10.012308,16.221,15.188,14.720
3326931763980985984,06410993+1002495,100.291405,10.047099,14.308,13.153,12.688
3326740006577519360,06411038+0953018,100.29325,9.883849,9.877,9.868,9.808
3326931321601386240,06411046+1001519,100.293597,10.031107,11.514,10.379,9.939
3326741655844953984,06411070+0957424,100.294588,9.961793,13.474,12.763,12.508
3326931081081880960,06411070+1000369,100.294624,10.01026,15.151,14.402,14.030
3326740448959150080,06411085+0953182,100.29521,9.888405,13.675,13.18,12.825
3326931081083218304,06411088+1000409,100.295353,10.011377,11.96,11.751,11.653
3326740453254679808,06411095+0954166,100.295625,9.904619,13.836,13.369,13.320
3326740006575454080,06411102+0952294,100.295928,9.87486,12.881,11.108,10.241
